Cocktail,strGlass,strIBA,Ingredients,Preparation,Notes
The Lady Whisper,N/A,,"1 oz Aged Rum, 1 oz Old Potrero Straight Rye Whiskey, .5 oz Luxardo Apricot Liqueur, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, 2 dash Bitters","Stir the ingredients in a mixing glass filled with ice, strain and serve over ice into an old fashioned glass.",
The Ladybird,Coupe,,"2 oz Pink Pigeon Rum, 2 dash Fee Brothers Black Walnut Bitters, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Luxardo Fernet","In a mixing glass, add the first three ingredients over ice. Stir to chill. In a separate coupe glass, add .5 oz of Luxardo Fernet and swirl glass until it is fully coated with the Fernet. Strain chilled cocktail from mixing glass into the Fernet-rinsed coupe (discard excess fernet). Garnish by placing a Luxardo Cherry into the bottom of the glass.",
The Last Marasca,N/A,,"50 ml Gin, 20 ml Luxardo Maraschino Liqueur, 5 ml Luxardo Orgeat Syrup, 5 ml Lemon Juice, 1 dash Absinthe","Rinse glass with absinthe. Add a Luxardo Cherry (covered in its juice) to a mixing glass with remaining ingredients. Stir until cold and slightly rose colored. Single strain, serve with cherry from mixing glass.",
The Last Tango,Cocktail Glass,,"1.5 oz Junipero Gin, 1 oz Giffard Elderflower Liqueur, 1 oz Lime Juice, 8-9 drops Chili Tincture*, 6  Luxardo Maraschino Cherries","Combine the lime, elderflower, tincture and cherries into a shaker tin. Muddle the cherries and then add the Junipero Gin. Shake with ice. Double strain into a chilled cocktail glass. Garnish with a lime wheel.

*Chili Tincture:
-- Chiles (Habaneros or Bird’s eye Chiles recommended)
-- Grain Alcohol or Vodka

Fill a small jar with stemmed hot chili peppers and cover with grain alcohol or high-proof vodka. Let soak for 3 days; strain.",Junipero Gin 20th Anniversary Signature Cocktail
The Last Wish,N/A,,"1 oz Luxardo Amaro Abano, 1 oz Luxardo Amaretto di Saschira, 2 oz Espresso coffee, 1 scoop Vanilla ice cream","Shake first three ingredients with ice.

Strain over ice cream into prepared glass.",Espresso coffee (preferably hot). Use chocolate syrup to stick cacao nibs on the rim of the glass.
The Lover's Quarrel ,N/A,,"1 oz No.3 London Dry Gin, 1 oz Maurin Quina, .75 oz King's Ginger Liqueur, .5 oz Honey Jalapeño syrup, 1 oz Orange juice, .5 oz Lemon juice, 1 oz Soda water",Combine all ingredients into a large punch bowl and add large ice cube/cubes. Garnish liberally with slice fruits.,
The Mad King,Highball Glass,,"2 oz Glenrothes Vintage Reserve, 1 oz King's Ginger Liqueur, .25 oz Honey Syrup, 1 dash Angostura Bitters",Add all ingredients to a mixing glass and stir for 15-20 seconds. Strain into a highball filled with fresh ice.,
The Mayan Premonition,Wine Glass,,"1.5 oz Chinaco Blanco Tequila, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Fresh Lime Juice, 1 float Bitter Lemon Soda","Fill up a stemmed wine glass with ice then pour the ingredients, stir and serve.",
The Molino,Pilsner Glass,,"1.5 oz Bourbon, .5 oz Luxardo Amaretto di Saschira, .5 oz Demerara Syrup (1:1), .75 oz Lemon Juice, 1  Egg White",Dry shake all ingredients. Hard shake with ice. Double strain into small pilsner glass. Garnish with Luxardo Cherry.,
The Monte Rua,Champagne Flute,,"4 oz Ca' Secco Sparkling, 1 bsp Luxardo Cherry Syrup",Combine all ingredients in a sparkling wine glass.,Luxardo & Ca'Secco PR partnership Fall 2015
The Naughty & Nice,N/A,,"1.25 oz Glenrothes Vintage Reserve, .75 oz Drambuie, 2 oz Woodchuck Pumpkin Cider, .75 oz Spiced Butter*, 3 dash Bittermens Elemakule Tiki Bitters","Heat cider to 180°F. In a 5 oz cup pour the scotch and drambuie. Add the heated cider. Stir in the spiced butter. Top with 3 drops bitters.

For the garnish, add 2 small cocktail stirrers, hang cookie off of the stirrer so that it leans off of the side of the cup.

*Spiced Butter:
-- 1 half Stick Butter
-- 1 tbsp Pumpkin Pie Spice
-- .5 tbsp Brown Sugar
-- .5 tsp Cayenne Pepper

Soften butter, add spices and mix with a spoon until all ingredients are combined.

**Chrusciki Cookies:
-- 1 c All-purpose Flour
-- 3 Egg Yolks
-- 3 tbsp Sour Cream
-- 1 tsp Vanilla Extract
-- 1 tbsp Dark Rum
-- 1 pinch Salt

Using a mixer, incorporate egg yolks into sour cream, add vanilla and rum, kneed in all-purpose flower and salt to taste.
Divide dough in half on a floured board and let rest for 20 min. Working with half the dough at a time, roll out to 1/8 in. thickness, cut into 2 in. wide strips, cut these strips on the diagonal at 4 in. intervals.
Heat 2 in. of vegetable oil in a large deep skillet to 350°F. Make a slit in the center of each strip of dough. Pull one end through the slit to form a bow.
Fry 6 Chrusciki at a time for 1 min. or less per side till golden brown.
Drain on a paper towel and dust with confectioners sugar.",
The Negroni Bianco,N/A,,"1.5 oz Luxardo Bitter Bianco, .75 oz Tempus Fugit Alessio Vermouth Bianco, 1.5 oz Junipero Gin",,
The No.3 Winter Cup,Highball Glass,,"25 ml No.3 London Dry Gin, 25 ml King's Ginger Liqueur, 12.5 ml Red Vermouth (Antica Formula), 150 ml Good quality sharp lemonade","In a highball glass full of ice add No.3, King's Ginger and red vermouth. Top up with the lemonade and serve with a slice of ginger and a wedge of pink grapefruit.",
The No.3 Winter Punch,Punch Bowl,,"1 part No.3 London Dry Gin, 1 part King's Ginger Liqueur, .5 part Red Vermouth (Antica Formula), 6 part Good quality sharp lemonade",In a punch bowl add ingredients per person.,
The Nutty Sensation,Coupe,,".75 oz Junipero Gin, .75 oz H by HINE, .75 oz Chateau de Montifaud Pineau des Charentes Blanc, .75 oz Oloroso & Moscatel Blend*, 2 dash The Bitter Truth Xocolate Bitters, 2 dash Orange Bitters,   Walnut Oil","Mix all ingredients in a tin except for the walnut oil. Utilizing the throwing technique, throw the mixture from one vessel to another vessel until chilled to air out the ingredients. Coat coupe glass with walnut oil and pour the mixture. Garnish with a dehydrated orange.

*Oloroso & Moscatel Blend:
-- 2 parts César Florido Moscatel Special
-- 1 part Lustau Oloroso Sherry

Blend ingredients.",Junipero Gin 20th Anniversary Signature Cocktail
The Palace Cellar,Collins,,"1.5 oz King's Ginger Liqueur, .5 oz Pink Pigeon Rum, .5 oz Fresh-pressed Lemon Juice, .5 oz Snake Oil's House-made Sarsaparilla Syrup, .75 oz Carbonated Water, 1 dash Snake Oil's House-made Pomegranate Bitters",Combine all ingredients in a Collins glass and stir. Garnish with a slice of ginger and lemon wheel.,
The Pink Aperitivo,Martini,,"30 ml Pink Pigeon Rum, 15 ml Luxardo Aperitivo, 15 ml Red Vermouth, 2 dash Peychaud's Bitters","Stir over cubed/vintage ice, double strain into a small chilled martini glass. Garnish with a black olive on a pick.",
The Pink Pussycat,Coupe,,"1.5 oz Pink Pigeon Rum, .5 oz FAIR Goji Berry Liqueur, .5 oz Noyeau de Poissy  B, .5 oz Cream, 5 dash Chocolate bitters",Shake with ice and strain into a coupe glass. Garnish with a toasted marshmallow,
The Professor,N/A,,"1.5 oz Nikka Coffey Grain Whisky, .75 oz Madeira, .75 oz Dolin Dry Vermouth, .25 oz Nux Alpina Walnut Nocino Liqueur, 1 dash Angostura Bitters","Stir, tastes great up or over a large ice cube with an orange twist.",
The Proverb,Double Rocks Glass,,"2 oz H by HINE, .5 oz Maurin Quina, .25 oz Luxardo Maraschino Liqueur, 1 dash Angostura Bitters, 2 dash Black Walnut Bitters",Place all ingredients in a mixing glass. Add ice and stir until proper dilution. Strain over a large hand cut ice cube placed in a double rocks glass. Garnish with a Luxardo Maraschino Cherry on a pick.,
The Queen Mother,Footed Rocks Glass,,"1.75 oz Bombay Dry Gin, .75 oz Dubonnet Rouge, .5 oz King's Ginger Liqueur, 3 dash Lemon-Celery Bitters*","Stir all ingredients over ice and strain into a footed rocks glass. Garnish with a lemon peel.

*Equal parts lemon and celery bitters in a dasher bottle.",
The Queen's A Redhead,Collins,,"50 ml King's Ginger Liqueur, 4  Pink Peppercorns, 25 ml Fresh lemon juice, 15 ml Gomme syrup, 25 ml Egg white","Dry shake, then shake with ice. Double strain over cubed ice.",
The Red Anchor,Rocks Glass,,"1.75 oz Junipero Gin, .75 oz Lemon Juice, .5 oz Grapefruit Juice, .5 oz Tempus Fugit Kina L'Aero d'Or, .25 oz Ginger Syrup, .25 oz Simple Syrup (1.5 : 1)",Shake. Serve in small rocks glass with no ice. Grapefruit slice to garnish.,
The Reserved King,N/A,,"2.5 oz Glenrothes Vintage Reserve, .5 oz King's Ginger Liqueur, 3-4 dash Angostura Bitters,   Lemon Peel","Muddle the lemon peel and bitters with the King’s Ginger to release the oils.  Add scotch, stir, and enjoy.",
The Rickenbacker,N/A,,"2 oz Hophead Vodka, 1 oz Tempus Fugit Alessio Vermouth Bianco, 2 dash Luxardo Maraschino Liqueur,   Salt",Combine all ingredients in a mixing glass and stir until proper dilution. Strain into a chilled cocktail glass. Garnish with a sage leaf speared through two cocktail onions.,
The Robert Baratheon,Coupe,,"2 oz Single Malt Scotch, .25 oz Dry Vermouth, .25 oz Luxardo Maraschino Liqueur, 2 dash Angostura Bitters",Add all ingredients to a mixing glass filled with ice. Stir until cold and strain into a chilled coupe.,Photo credit: liquor.com
The Royal Buck,Collins,,"1 oz No.3 London Dry Gin, 1 oz King's Ginger Liqueur, .75 oz Lemon juice, .5 oz Simple syrup, 2 oz Club soda","Add ingredients to a mixing glass except club soda. Shake over ice, strain over ice into a collins glass, top with club soda. Garnish with a lemon wedge and candied ginger on a pick.",
The Royal King,Champagne Flute,,"1 oz King's Ginger Liqueur, 4 oz Champagne",Pour a generous measure of The King's Ginger into a flute. Add chilled Champagne to taste.,
The Rusty Tack,Rocks Glass,,"1 oz King's Ginger Liqueur, 1 oz Glenrothes Vintage Reserve",Serve neat or on the rocks.,
The Seniorita,Rocks Glass,,"1.5 oz The Genuine Curacao Liqueur Orange, .5 oz Lime Juice, 1.5 oz Thai Coconut Milk, 2 dash Angostura Bitters, 1 float Gosslings 151 Rum",Shake with ice. Strain into rocks glass and top with crushed ice. Float 1 oz. of Gosslings 151 rum on top.  Garnish with mint and Luxardo Maraschino Cherries.,*Ice: Crushed & Bar ice
The Shah's Shandy,Collins,,"1 oz King's Ginger Liqueur, .5 oz No.3 London Dry Gin, .75 oz Meyer lemon juice, .25 oz Rich simple syrup (2:1 sugar to water), 3 oz Anchor Liberty Ale",,
The Silver Cocktail,Cocktail Glass,,"1.5 oz Junipero Gin, 1.5 oz Dry Vermouth, .25 oz Luxardo Maraschino Liqueur, 2 dash Orange Bitters",Stir with ice until cold; strain into a chilled cocktail glass. Express and garnish with lemon.,"Photo credit: Douglas M. Ford, cold-glass.com"
The Sixth Sense,N/A,,"1 oz Junipero Gin, 1 oz Luxardo Amaro Abano, 1.5 oz Cream of Coconut, .5 oz Fresh pineapple juice, .5 oz Fresh lime juice, 3 dashes Angostura bitters",Mix all ingredients in a blender until smooth and icy. Pout into a glass and top with 3 dashes of angostura bitters.,
The Southside,N/A,,"2 oz No.3 London Dry Gin, 1 oz Fresh lemon juice, 1 oz Simple syrup, 5 leaves Mint leaves","In a shaker, muddle the mint and simple syrup. Add the lemon juice and gin, and fill with ice. Shake, and double-strain into a cocktail glass. Garnish with a mint sprig.

",
The Sparkler,Champagne Flute,,".75 oz Luxardo Bitter Bianco, .75 oz Dolin Blanc, 2.5 oz Prosecco",Combine Luxardo Bitters and Dolin Blanc. Stir in mixing glass until chilled. Strain into flute. Top with prosecco. Zest with grapefruit. Garnish with long grapefruit zest.,
The Stand By,Old Fashioned Glass,,"2 oz Junipero Gin, .5 oz Luxardo Bitter, 1 bsp Kalani Coconut Liqueur, 1 dash Angostura Bitters, 1 dash Peychaud's Bitters",Combine all the ingredients in an old-fashioned glass. Stir on the rocks. Garnish with lemon peel.,
The Sun Also Rises,Coupe,,"2 oz Banks 5 Island Rum, .75 oz Fresh Lime Juice, .5 oz Fresh Grapefruit Juice, .5 oz Luxardo Maraschino Liqueur, 1 tsp Vieux Pontarlier Absinthe Francaise Superieure","Add all the ingredients to a shaker and fill with ice. Shake, and strain into a chilled coupe glass filled with crushed ice.",
The Swedish,Rocks Glass,,"1.5 oz Karlsson's Gold Vodka, 1 oz Potato juice*, .5 oz Benedictine, .5 oz Lemon juice , .25 oz Cinnamon honey syrup**, 1 bsp Black pepper, .5 bsp Salt","Juice potato and strain into a nearby usable container (must be done as close to drink making process as possible since oxidization will occur quickly). Add vodka, potato juice, lemon, Benedictine, cinnamon-honey syrup, and salt and pepper to mixing glass. Add ice, and shake and fine strain over fresh ice.","*Potato juice:
Wash potato, peel, chop, and put into a juicer

**Cinnamon honey syrup:
Cook cinnamon in hot water, strain and combine with equal parts hot water
"
The Tahoe Toddy,Coffee Mug,,"2 oz Hot Water, 2 oz Glenrothes, 1 oz King's Ginger Liqueur, 1 dash Honey","Boil water in a tea kettle. 

Squeeze lemon slice into the mug. Insert whole cloves into the lemon slice and drop it into the mug.",
The Touch  of Glass,Brandy Snifter,,"1.5 oz Brandy de Jerez (Foie Gras-Infused), 2-3 drops Truffle Tincture,   Atomized Pipe Tobacco Essence","Pour brandy into a brandy snifter. Top with 2-3 drops of truffle tincture. Spray Pipe Tobacco Essence on wrist. Smell wrist, sip drink, and enjoy.",
The Twinger ,Collins,,"1.5 oz King's Ginger Liqueur,  top Fever-Tree Ginger Ale, 2 dash Angostura Bitters","Pour King's Ginger into an ice-filled collins glass. Top off with Fever-Tree Ginger Ale. Add bitters, and squeeze lime over and serve.",
The Windtalker,Old Fashioned Glass,,"1.5 oz Hirsch Small Batch Reserve Bourbon, .75 oz Luxardo Amaretto di Saschira, .5 oz King's Ginger Liqueur, .75 oz Fresh lemon juice, .5 oz Egg white",Shake all ingredients with ice then strain over fresh ice into an old fashioned glass.,
Three Flips,Snifter,,"1.5 oz No.3 London Dry Gin, 1.5 oz Averna, .75 oz Honey, 1 whole Egg","Combine all ingredients, shake for 20 seconds. Add ice and shake again. Strain into a snifter. Garnish with shaved nutmeg.",
Thyme for Bed,Coupe,,"1.5 oz Chamucos Blanco Tequila, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Thyme Simple Syrup, .5 oz Lime Juice",Shaken.,
Toasted Drop,Martini,,"1.5 oz Citrus-flavored Vodka, .75 oz Luxardo Limoncello, .5 oz Luxardo Amaretto di Saschira, 1 oz Fresh sweet n' sour, .5 oz Egg white",Shake all ingredients with ice then strain into a chilled cocktail glass.,
Tokyo Tea,Rocks Glass,,"1.5 oz Nikka Coffey Grain Whisky, 1 oz Yogurt Liquor, .5 oz Milk, .5 oz Golden Sesame Honey, 1 dash Angostura Bitters, 1 tsp Matcha Tea",Shake and strain into rocks glass.,
Trato Hecho,Coupe,,".75 oz Pineapple-Infused Mezcal*, .75 oz Green Chartreuse, .75 oz Luxardo Maraschino Liqueur, .75 oz Lime Juice","Add all the ingredients to a shaker and fill with ice. Shake, and strain into a coupe glass.

*Pineapple-Infused Mezcal:
Peel, core and chop a whole pineapple into 1-inch cubes. Add to a large jar or other container with a lid, and add a 750-mL bottle of mezcal. Let stand for 5 days and strain before using.",Photo credit: liquor.com
Trip to Jarnac,N/A,,"1 oz H by HINE, .5 oz Orange Juice, .75 oz Lemon Juice, .25 oz Batavia Arrack, .5 oz Simple Syrup, 1 dash Angostura Bitters",Mix all ingredients together.,Featured at the 2016/2017 SpeedRack
Tropical Bronzer,N/A,,"1.5 oz Aged Rum, 1 oz Luxardo Amaretto di Saschira, 1 oz Passion fruit puree, 2 oz Fresh lime sweet n' sour, 2 dash Bitters, 1 float Coconut foam",Shake the first five ingredients with ice then strain over fresh ice into a Collins or Tiki glass. Top with coconut foam.,Coconut foam: Combine 16oz of coconut milk from can and 8oz cream of coconut in a whipping cream syphon. Charge and serve. Keep refrigerated. Shelf life: 2 weeks.
True Dish,N/A,,"1 oz No.3 London Dry Gin, .5 oz Luxardo Angioletto (Hazelnut Liqueur), .5 oz Luxardo Amaretto di Saschira, .5 oz Cinnamon honey syrup, .25 oz Luxardo Limoncello, 1 dash Orange blossom water, 1 whole Egg",,
Under the Sun,Old Fashioned Glass,,"1.5 oz Plantation Pineapple Rum, 1 oz BarSol Perfecto Amor (Aperitif Wine), .5 oz Ancho Reyes, 3 dash House-made Roasted Banana Bitters",Stir with ice and strain into an old fashioned glass over small ice cubes. Garnish with an orange twist.,
Union Jack,N/A,,".75 oz Luxardo Maraschino Liqueur, .75 oz Green Chartreuse, .5 oz Grenadine 'Layered' Beer Back",,
Venetian,N/A,,".5 oz Luxardo Amaretto di Saschira, .5 oz Campari, .5 oz Dry Vermouth","Stir, strain, and serve straight up. Express zest and garnish.",
Vesper,Cocktail glass,,"6 cl Gin,1.5 cl Vodka,0.75 cl Lillet Blanc","Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",
Vesper,Martini,,"2.25 oz No.3 London Dry Gin, .75 oz Hophead Vodka, .5 oz Tempus Fugit Kina L'Aero d'Or",Shake with ice. Strain into chilled martini glass. Garnish with lemon peel.,
Vesper's Sister,Martini,,"1 oz Van Gogh Blue Vodka, 1 oz No.3 London Dry Gin, .5 oz Lillet Blanc, .25 oz St. Germain",Shake ingredients very well with ice and strain into a martini glass. Garnish with lemon and orange twists.,
Vida Verde (Adapted),N/A,,"1.5 oz Chinaco Blanco Tequila, .75 oz Luxardo Maraschino Liqueur, 1.5 oz Lime Sweet n' Sour mix,  oz Cucumber wheels,  oz Sprigs of Mint","Place the mint and cucumber in a mixing glass and muddle briskly, then add sour mix and liquor. Shake with ice and double strain over ice into a stemmed glass.","Adapted from Francesco Lafranconi's recipe in the Luxardo cocktail book. He originally called for Agave Tequila Blanco-style, which we have replaced with Chinaco Blanco."
